"Date","Price","Open","High","Low","Vol.","Change %"
"26-03-2024","1,441.57","1,445.00","1,452.40","1,439.00","11.42M","-0.92%"
"22-03-2024","1,455.03","1,449.97","1,460.00","1,447.35","19.53M","0.28%"
"21-03-2024","1,450.97","1,452.53","1,457.90","1,444.68","13.01M","0.50%"
"20-03-2024","1,443.75","1,427.95","1,445.00","1,424.03","8.49M","1.30%"
"19-03-2024","1,425.25","1,428.75","1,437.60","1,417.25","8.28M","-0.99%"
"18-03-2024","1,439.47","1,420.00","1,441.72","1,416.53","9.17M","1.50%"
"15-03-2024","1,418.22","1,425.95","1,433.22","1,412.90","19.22M","-0.93%"
"14-03-2024","1,431.47","1,439.70","1,448.53","1,425.50","18.57M","-0.05%"
"13-03-2024","1,432.18","1,479.78","1,483.10","1,427.78","13.52M","-2.93%"
"12-03-2024","1,475.43","1,466.60","1,488.00","1,465.03","9.43M","0.60%"
"11-03-2024","1,466.60","1,489.00","1,489.00","1,463.50","11.28M","-0.83%"
"07-03-2024","1,478.93","1,502.97","1,503.10","1,475.55","8.32M","-1.60%"
"06-03-2024","1,503.00","1,493.45","1,509.00","1,478.50","7.81M","0.19%"
"05-03-2024","1,500.20","1,505.78","1,507.40","1,486.05","7.11M","-0.48%"
"04-03-2024","1,507.40","1,490.47","1,512.45","1,487.22","10.02M","1.09%"
"02-03-2024","1,491.08","1,492.00","1,500.45","1,488.00","716.30K","-0.07%"
"01-03-2024","1,492.13","1,463.50","1,500.00","1,462.50","12.13M","2.14%"
"29-02-2024","1,460.80","1,465.00","1,478.97","1,454.53","23.63M","0.36%"
"28-02-2024","1,455.63","1,483.00","1,491.28","1,450.18","8.65M","-2.02%"
"27-02-2024","1,485.65","1,483.03","1,499.95","1,478.05","10.83M","-0.11%"
"26-02-2024","1,487.32","1,493.55","1,494.53","1,482.50","7.51M","-0.42%"
"23-02-2024","1,493.63","1,489.50","1,497.55","1,483.35","14.44M","0.80%"
"22-02-2024","1,481.75","1,468.15","1,484.95","1,458.00","18.49M","0.96%"
"21-02-2024","1,467.70","1,474.00","1,488.53","1,457.55","12.72M","-0.23%"
"20-02-2024","1,471.03","1,475.03","1,475.50","1,461.80","7.12M","-0.20%"
"19-02-2024","1,474.00","1,462.05","1,479.50","1,453.53","6.73M","0.92%"
"16-02-2024","1,460.57","1,476.47","1,477.00","1,458.55","9.77M","-0.68%"
"15-02-2024","1,470.60","1,483.35","1,484.72","1,466.53","10.01M","-0.73%"
"14-02-2024","1,481.38","1,457.50","1,483.65","1,457.50","7.12M","1.11%"
"13-02-2024","1,465.10","1,455.50","1,479.00","1,454.00","7.72M","0.88%"
"12-02-2024","1,452.35","1,460.75","1,461.00","1,442.35","6.67M","-0.58%"
