"Date","Price","Open","High","Low","Vol.","Change %"
"19-04-2024","1,403.34","1,377.24","1,418.85","1,371.02","20.60M","-0.56%"
"18-04-2024","1,411.30","1,413.14","1,436.60","1,399.61","22.11M","0.34%"
"16-04-2024","1,406.52","1,442.87","1,446.99","1,405.13","16.17M","-3.66%"
"15-04-2024","1,459.92","1,471.71","1,483.59","1,452.86","8.53M","-1.12%"
"12-04-2024","1,476.43","1,495.57","1,498.36","1,471.21","12.28M","-1.46%"
"10-04-2024","1,498.36","1,491.94","1,501.39","1,476.23","6.74M","0.80%"
"09-04-2024","1,486.47","1,481.65","1,505.32","1,478.96","9.42M","1.23%"
"08-04-2024","1,468.43","1,474.69","1,482.59","1,465.84","6.61M","-0.16%"
"05-04-2024","1,470.81","1,471.76","1,478.37","1,467.78","5.07M","-0.51%"
"04-04-2024","1,478.37","1,482.20","1,487.27","1,459.77","11.19M","0.41%"
"03-04-2024","1,472.35","1,470.71","1,486.72","1,466.73","8.74M","-0.15%"
"02-04-2024","1,474.54","1,476.53","1,484.78","1,472.55","7.28M","-0.84%"
"01-04-2024","1,487.07","1,516.45","1,521.38","1,484.43","6.58M","-0.17%"
"28-03-2024","1,489.66","1,478.82","1,503.33","1,478.82","12.50M","0.96%"
"27-03-2024","1,475.54","1,487.62","1,490.60","1,473.25","6.86M","-0.59%"
"26-03-2024","1,484.29","1,483.64","1,499.00","1,479.56","8.35M","-1.07%"
"22-03-2024","1,500.39","1,512.48","1,520.33","1,489.80","14.67M","-2.95%"
"21-03-2024","1,545.99","1,555.23","1,568.11","1,534.75","11.06M","-0.02%"
"20-03-2024","1,546.24","1,554.24","1,566.12","1,543.65","4.76M","-0.42%"
"19-03-2024","1,552.70","1,583.43","1,590.04","1,549.27","6.87M","-2.57%"
"18-03-2024","1,593.67","1,620.86","1,623.50","1,589.89","4.96M","-1.92%"
"15-03-2024","1,624.84","1,631.90","1,636.58","1,609.28","11.81M","-1.17%"
"14-03-2024","1,644.04","1,605.35","1,648.46","1,598.99","8.80M","2.60%"
"13-03-2024","1,602.37","1,603.86","1,615.40","1,589.59","5.69M","-0.10%"
"12-03-2024","1,603.91","1,591.03","1,615.89","1,588.70","4.61M","0.77%"
"11-03-2024","1,591.63","1,599.14","1,604.76","1,579.10","6.75M","-0.98%"
"07-03-2024","1,607.39","1,607.54","1,619.32","1,595.21","6.35M","-0.07%"
"06-03-2024","1,608.48","1,593.82","1,611.07","1,567.17","6.42M","0.69%"
"05-03-2024","1,597.50","1,624.84","1,628.17","1,593.02","4.60M","-1.88%"
"04-03-2024","1,628.03","1,648.56","1,655.12","1,624.49","4.45M","-1.71%"
"02-03-2024","1,656.30","1,659.75","1,662.65","1,654.05","292.15K","0.66%"
"01-03-2024","1,645.43","1,659.65","1,662.58","1,641.75","6.39M","-1.15%"
"29-02-2024","1,664.52","1,655.67","1,672.82","1,644.04","7.81M","0.16%"
"28-02-2024","1,661.88","1,660.64","1,678.34","1,652.74","3.19M","0.46%"
"27-02-2024","1,654.28","1,651.69","1,661.73","1,643.54","5.16M","0.21%"
"26-02-2024","1,650.85","1,665.56","1,665.56","1,635.78","2.78M","-1.00%"
"23-02-2024","1,667.45","1,687.49","1,688.93","1,662.53","5.37M","-0.27%"
"22-02-2024","1,671.93","1,655.67","1,675.16","1,635.19","5.84M","1.56%"
"21-02-2024","1,646.27","1,664.62","1,664.62","1,636.08","4.30M","-1.76%"
"20-02-2024","1,675.81","1,675.56","1,684.76","1,659.40","3.71M","-0.85%"
"19-02-2024","1,690.22","1,695.44","1,701.91","1,678.24","3.69M","-0.11%"
"16-02-2024","1,692.11","1,679.54","1,699.42","1,678.49","4.88M","1.51%"
"15-02-2024","1,666.96","1,667.60","1,678.29","1,652.29","4.83M","0.61%"
"14-02-2024","1,656.86","1,650.90","1,660.09","1,626.33","3.77M","-1.09%"
"13-02-2024","1,675.11","1,673.57","1,679.63","1,654.18","2.70M","0.26%"
"12-02-2024","1,670.69","1,660.99","1,683.46","1,660.99","3.56M","0.64%"
"09-02-2024","1,659.99","1,675.26","1,683.41","1,650.50","4.60M","-1.34%"
"08-02-2024","1,682.62","1,688.48","1,696.79","1,673.37","5.92M","-0.10%"
"07-02-2024","1,684.26","1,719.31","1,719.31","1,677.40","4.61M","-2.06%"
"06-02-2024","1,719.76","1,677.30","1,723.29","1,664.57","7.69M","2.50%"
