"Date","Price","Open","High","Low","Vol.","Change %"
"23-10-2023","3,394.42","3,456.98","3,462.91","3,385.61","1.11M","-2.42%"
"20-10-2023","3,478.43","3,434.49","3,483.36","3,428.17","1.48M","1.13%"
"19-10-2023","3,439.71","3,453.50","3,460.81","3,435.98","1.51M","-0.91%"
"18-10-2023","3,471.17","3,494.81","3,506.45","3,467.93","1.41M","-0.56%"
"17-10-2023","3,490.88","3,513.72","3,517.85","3,487.19","1.67M","-0.48%"
"16-10-2023","3,507.80","3,549.55","3,558.16","3,502.87","1.67M","-1.31%"
"13-10-2023","3,554.38","3,513.72","3,560.50","3,508.74","2.89M","0.80%"
"12-10-2023","3,526.21","3,558.51","3,572.10","3,521.78","4.24M","-1.87%"
"11-10-2023","3,593.25","3,633.17","3,633.17","3,588.37","2.43M","-0.52%"
"10-10-2023","3,612.16","3,623.26","3,631.18","3,584.74","1.85M","-0.26%"
"09-10-2023","3,621.57","3,628.24","3,662.03","3,614.25","4.23M","0.47%"
"06-10-2023","3,604.70","3,574.44","3,618.19","3,558.56","2.08M","0.89%"
"05-10-2023","3,572.80","3,537.61","3,607.29","3,534.82","2.99M","1.46%"
"04-10-2023","3,521.43","3,470.22","3,531.64","3,461.26","1.79M","0.68%"
"03-10-2023","3,497.64","3,517.90","3,517.90","3,464.05","1.95M","-0.42%"
"29-09-2023","3,512.33","3,520.89","3,551.99","3,489.38","2.24M","-0.23%"
"28-09-2023","3,520.44","3,583.40","3,586.18","3,511.08","1.76M","-1.46%"
"27-09-2023","3,572.75","3,573.44","3,597.33","3,539.30","1.54M","0.10%"
"26-09-2023","3,569.16","3,551.15","3,578.37","3,519.69","1.73M","0.24%"
"25-09-2023","3,560.65","3,585.89","3,603.30","3,542.24","1.24M","-0.74%"
"22-09-2023","3,587.03","3,567.47","3,616.99","3,548.61","1.99M","0.51%"
"21-09-2023","3,568.76","3,572.00","3,588.37","3,511.73","2.00M","-0.58%"
"20-09-2023","3,589.42","3,563.49","3,608.28","3,563.49","1.65M","0.00%"
"18-09-2023","3,589.52","3,563.54","3,602.61","3,558.76","1.40M","0.22%"
"15-09-2023","3,581.71","3,551.40","3,590.71","3,546.02","2.95M","1.07%"
"14-09-2023","3,543.63","3,553.58","3,581.11","3,529.25","2.60M","-0.22%"
"13-09-2023","3,551.40","3,554.63","3,572.30","3,528.65","1.75M","-0.36%"
"12-09-2023","3,564.28","3,475.90","3,573.34","3,466.94","4.48M","2.88%"
"11-09-2023","3,464.60","3,446.03","3,469.62","3,429.11","1.78M","1.13%"
"08-09-2023","3,426.03","3,439.31","3,449.02","3,419.21","1.52M","-0.39%"
"07-09-2023","3,439.31","3,414.98","3,444.04","3,406.52","1.89M","0.74%"
"06-09-2023","3,414.08","3,418.16","3,428.02","3,382.43","1.31M","0.02%"
"05-09-2023","3,413.53","3,404.23","3,431.10","3,389.45","1.50M","0.32%"
"04-09-2023","3,402.73","3,362.42","3,417.02","3,354.51","1.83M","1.16%"
"01-09-2023","3,363.61","3,350.48","3,373.37","3,341.32","1.28M","0.67%"
"31-08-2023","3,341.32","3,385.31","3,401.64","3,328.23","3.42M","-1.01%"
"30-08-2023","3,375.31","3,382.33","3,392.38","3,367.45","1.19M","0.44%"
"29-08-2023","3,360.58","3,365.46","3,373.92","3,349.48","944.52K","0.02%"
