"Date","Price","Open","High","Low","Vol.","Change %"
"02-05-2024","1,786.85","1,798.00","1,805.00","1,759.20","517.70K","-0.60%"
"30-04-2024","1,797.65","1,814.00","1,838.80","1,791.00","488.77K","-0.51%"
"29-04-2024","1,806.85","1,815.90","1,822.00","1,795.75","293.37K","0.01%"
"26-04-2024","1,806.65","1,820.00","1,823.30","1,797.05","288.47K","-0.33%"
"25-04-2024","1,812.65","1,818.00","1,819.65","1,792.35","405.97K","0.24%"
"24-04-2024","1,808.30","1,824.95","1,838.50","1,795.00","294.14K","-0.45%"
"23-04-2024","1,816.40","1,809.65","1,840.00","1,799.70","631.34K","1.26%"
"22-04-2024","1,793.75","1,802.00","1,814.60","1,780.00","346.71K","1.34%"
"19-04-2024","1,770.05","1,761.20","1,785.00","1,733.00","665.96K","-0.30%"
"18-04-2024","1,775.45","1,829.70","1,849.90","1,761.20","675.36K","-2.00%"
"16-04-2024","1,811.65","1,803.00","1,838.10","1,802.20","495.01K","-0.19%"
"15-04-2024","1,815.10","1,801.00","1,850.00","1,800.00","978.52K","-3.66%"
"12-04-2024","1,884.05","1,907.90","1,925.00","1,880.00","393.68K","-1.23%"
"10-04-2024","1,907.50","1,920.05","1,924.15","1,895.00","301.53K","-0.45%"
"09-04-2024","1,916.20","1,930.40","1,945.00","1,908.95","294.09K","-0.15%"
"08-04-2024","1,919.10","1,948.05","1,974.95","1,904.40","893.40K","0.90%"
"05-04-2024","1,901.95","1,890.85","1,937.75","1,875.00","724.44K","0.59%"
"04-04-2024","1,890.85","1,900.50","1,925.00","1,882.00","791.18K","0.63%"
"03-04-2024","1,878.95","1,893.15","1,904.00","1,877.00","611.12K","-0.72%"
"02-04-2024","1,892.65","1,891.00","1,906.00","1,872.05","440.58K","0.23%"
"01-04-2024","1,888.30","1,865.00","1,908.90","1,865.00","573.43K","2.90%"
"28-03-2024","1,835.15","1,832.55","1,863.00","1,820.00","605.15K","0.69%"
"27-03-2024","1,822.50","1,869.70","1,895.00","1,804.00","1.17M","-1.96%"
"26-03-2024","1,859.00","1,840.00","1,938.70","1,840.00","955.70K","0.39%"
"22-03-2024","1,851.75","1,857.05","1,865.00","1,837.05","390.80K","-0.19%"
"21-03-2024","1,855.35","1,861.00","1,869.00","1,831.25","328.50K","0.41%"
"20-03-2024","1,847.75","1,834.90","1,861.95","1,812.85","463.75K","1.44%"
"19-03-2024","1,821.55","1,870.00","1,892.40","1,801.15","587.66K","-2.59%"
"18-03-2024","1,869.90","1,810.05","1,899.90","1,750.85","1.48M","-1.72%"
"15-03-2024","1,902.60","1,902.00","1,944.95","1,870.45","1.75M","0.39%"
"14-03-2024","1,895.30","1,716.00","1,913.00","1,663.20","1.88M","9.87%"
"13-03-2024","1,725.00","1,897.10","1,916.60","1,650.00","2.35M","-9.07%"
"12-03-2024","1,897.10","1,930.00","1,939.00","1,873.10","639.41K","-1.72%"
"11-03-2024","1,930.30","1,930.00","1,983.55","1,904.10","755.93K","0.06%"
"07-03-2024","1,929.10","1,919.90","1,949.95","1,910.80","517.47K","0.97%"
"06-03-2024","1,910.50","1,950.00","1,953.50","1,894.30","643.44K","-1.89%"
"05-03-2024","1,947.40","1,943.20","1,970.00","1,938.00","415.46K","0.35%"
"04-03-2024","1,940.70","1,977.55","1,998.55","1,930.00","609.44K","-1.54%"
"02-03-2024","1,971.00","1,979.95","1,979.95","1,946.00","115.73K","0.07%"
"01-03-2024","1,969.55","1,930.00","1,998.00","1,930.00","947.40K","3.93%"
"29-02-2024","1,895.05","1,921.00","1,947.35","1,855.95","2.24M","-1.20%"
"28-02-2024","1,918.15","1,989.80","1,996.50","1,891.00","916.81K","-3.10%"
"27-02-2024","1,979.50","1,964.00","2,018.95","1,947.95","1.00M","0.46%"
"26-02-2024","1,970.45","1,931.40","2,000.00","1,925.00","2.00M","2.45%"
"23-02-2024","1,923.30","1,930.50","1,943.30","1,910.00","599.09K","0.03%"
"22-02-2024","1,922.65","1,915.00","1,930.00","1,866.70","680.14K","0.93%"
"21-02-2024","1,904.95","1,926.00","1,962.10","1,880.05","1.18M","-1.13%"
"20-02-2024","1,926.65","1,963.70","1,964.00","1,920.00","1.25M","-1.45%"
"19-02-2024","1,955.05","1,919.00","1,975.00","1,911.65","2.40M","2.64%"
"16-02-2024","1,904.75","1,910.05","1,930.75","1,891.65","1.70M","0.21%"
"15-02-2024","1,900.75","1,868.00","1,959.70","1,857.15","3.18M","2.62%"
"14-02-2024","1,852.25","1,813.00","1,882.95","1,796.40","2.63M","2.02%"
"13-02-2024","1,815.55","1,853.00","1,861.50","1,734.30","1.77M","-1.47%"
"12-02-2024","1,842.60","1,888.05","1,908.00","1,830.00","2.38M","-2.03%"
"09-02-2024","1,880.70","1,836.90","1,918.00","1,805.55","3.16M","2.89%"
"08-02-2024","1,827.95","1,884.10","1,918.00","1,820.00","1.70M","-2.04%"
"07-02-2024","1,866.00","1,749.50","1,990.00","1,746.00","8.93M","8.38%"
"06-02-2024","1,721.65","1,668.65","1,744.95","1,653.00","1.98M","3.18%"
"05-02-2024","1,668.65","1,684.00","1,698.00","1,651.60","1.07M","-0.33%"
"02-02-2024","1,674.25","1,681.90","1,698.95","1,663.85","946.22K","0.50%"
"01-02-2024","1,665.95","1,689.00","1,706.00","1,655.65","1.74M","-0.21%"
"31-01-2024","1,669.45","1,680.00","1,694.90","1,665.05","802.67K","-0.60%"
"30-01-2024","1,679.45","1,720.00","1,722.00","1,674.00","992.52K","-2.10%"
"29-01-2024","1,715.50","1,684.95","1,750.00","1,673.45","3.44M","3.05%"
"25-01-2024","1,664.80","1,647.00","1,677.00","1,636.05","1.09M","1.43%"
"24-01-2024","1,641.35","1,687.95","1,687.95","1,629.00","9.49M","-2.35%"
"23-01-2024","1,680.90","1,740.00","1,745.00","1,632.00","1.59M","0.38%"
"20-01-2024","1,674.50","1,580.00","1,699.95","1,579.10","1.09M","6.61%"
"19-01-2024","1,570.75","1,610.00","1,619.15","1,562.75","796.19K","-1.10%"
"18-01-2024","1,588.25","1,615.00","1,629.00","1,565.65","994.21K","-1.66%"
"17-01-2024","1,615.00","1,653.00","1,656.95","1,605.10","1.15M","-3.11%"
"16-01-2024","1,666.80","1,693.50","1,693.80","1,660.00","961.31K","-1.65%"
"15-01-2024","1,694.80","1,725.00","1,727.10","1,685.00","687.29K","-0.93%"
"12-01-2024","1,710.70","1,725.60","1,746.10","1,705.10","620.51K","-0.20%"
"11-01-2024","1,714.15","1,739.00","1,762.05","1,702.00","985.47K","-0.53%"
"10-01-2024","1,723.25","1,704.00","1,755.00","1,691.00","2.42M","2.37%"
"09-01-2024","1,683.40","1,698.05","1,725.00","1,679.05","939.53K","0.20%"
"08-01-2024","1,680.05","1,685.30","1,714.00","1,665.00","1.14M","0.36%"
"05-01-2024","1,674.00","1,695.00","1,700.00","1,660.00","871.73K","-1.09%"
"04-01-2024","1,692.50","1,706.55","1,723.00","1,675.05","1.49M","-0.28%"
"03-01-2024","1,697.25","1,699.00","1,747.40","1,610.00","8.06M","5.84%"
"02-01-2024","1,603.55","1,598.80","1,616.00","1,565.70","1.03M","0.32%"
"01-01-2024","1,598.40","1,598.00","1,620.00","1,585.00","912.76K","0.09%"
"29-12-2023","1,597.00","1,570.00","1,616.50","1,545.00","1.16M","2.31%"
"28-12-2023","1,561.00","1,605.10","1,608.40","1,555.00","1.16M","-2.50%"
"27-12-2023","1,601.10","1,644.00","1,657.95","1,570.05","2.12M","0.06%"
"26-12-2023","1,600.20","1,555.00","1,632.00","1,551.55","2.81M","4.38%"
"22-12-2023","1,533.10","1,543.00","1,546.00","1,500.00","1.06M","0.89%"
"21-12-2023","1,519.55","1,390.05","1,549.00","1,390.05","2.13M","4.64%"
"20-12-2023","1,452.15","1,539.75","1,569.40","1,385.00","2.23M","-5.20%"
"19-12-2023","1,531.80","1,530.50","1,555.00","1,506.00","965.11K","0.47%"
"18-12-2023","1,524.65","1,518.95","1,544.85","1,500.25","1.08M","-0.13%"
"15-12-2023","1,526.65","1,527.65","1,541.00","1,501.40","1.70M","1.22%"
"14-12-2023","1,508.30","1,435.95","1,535.00","1,435.95","3.44M","5.65%"
"13-12-2023","1,427.70","1,459.00","1,459.95","1,375.00","2.83M","-2.47%"
"12-12-2023","1,463.90","1,532.85","1,539.90","1,453.50","2.01M","-4.32%"
"11-12-2023","1,530.00","1,554.40","1,579.00","1,475.00","2.71M","-1.31%"
"08-12-2023","1,550.30","1,645.00","1,668.80","1,495.00","5.41M","-4.55%"
"07-12-2023","1,624.15","1,580.00","1,700.00","1,565.00","10.88M","3.88%"
"06-12-2023","1,563.45","1,474.50","1,608.00","1,463.25","19.69M","15.94%"
"05-12-2023","1,348.50","1,126.00","1,348.50","1,096.10","16.96M","20.00%"
"04-12-2023","1,123.75","1,160.00","1,184.00","1,092.55","6.00M","9.47%"
"01-12-2023","1,026.50","1,042.00","1,045.00","1,020.00","1.18M","-0.22%"
"30-11-2023","1,028.80","1,040.00","1,040.00","1,006.25","4.25M","-1.24%"
"29-11-2023","1,041.70","1,089.65","1,124.90","1,021.50","6.65M","-1.05%"
"28-11-2023","1,052.80","955.00","1,099.00","955.00","11.57M","12.25%"
"24-11-2023","937.90","936.00","952.80","920.00","738.02K","0.77%"
"23-11-2023","930.70","920.00","935.00","910.20","350.09K","1.78%"
"22-11-2023","914.45","925.95","929.95","910.00","288.74K","-1.31%"
"21-11-2023","926.60","926.20","936.85","920.00","377.89K","0.04%"
"20-11-2023","926.20","935.00","938.00","915.15","472.98K","-1.06%"
"17-11-2023","936.10","941.35","943.65","930.00","341.14K","-0.56%"
"16-11-2023","941.35","948.00","949.50","939.35","353.02K","-0.93%"
"15-11-2023","950.15","952.00","954.90","940.05","412.64K","1.06%"
"13-11-2023","940.15","942.05","946.90","932.60","341.11K","-0.78%"
"12-11-2023","947.50","942.95","952.70","942.95","152.07K","0.94%"
"10-11-2023","938.70","942.80","946.20","927.05","311.27K","0.06%"
